Activity,2013-38,2013-39,2013-40,2013-41,2013-42,2013-43,2013-44,2013-45,2013-46,2013-47,Total
Design,"",0.50,1.00,1.00,"","","",1.00,0.50,1.00,5.00
Development,"","","",1.00,20.50,15.25,15.50,13.50,12.50,"",78.25
Projectmanagement,1.00,1.50,7.25,1.75,3.75,2.50,1.25,3.50,"",1.50,24.00
Inform,1.50,12.00,6.00,5.75,6.00,4.00,8.00,3.00,"","",46.25
Experiment,"",5.25,16.50,10.50,13.50,3.00,16.00,4.00,12.00,1.50,82.25
Meeting,2.50,2.00,6.50,4.00,1.75,1.50,1.00,2.00,1.50,"",22.75
Configure,1.50,"","","",9.00,3.00,"",4.00,"","",17.50
Documentation,0.50,3.00,0.25,1.00,"",1.50,2.25,1.00,2.00,"",11.50
Maintanance,"","","","",1.00,"","","","","",1.00
Quality Management,"","","","",3.00,1.00,5.50,3.00,"","",12.50
Total,7.00,24.25,37.50,25.00,58.50,31.75,49.50,35.00,28.50,4.00,301.00
